color_hex,shape,sound,label
#F2CE14,shape_1,sound_4,happy
#F7EC03,shape_1,sound_4,happy
#FCF10B,shape_9,sound_2,happy
#ECCC0E,shape_4,sound_7,happy
#F3C806,shape_1,sound_2,happy
#F8DE10,shape_2,sound_7,happy
#EFD623,shape_2,sound_7,happy
#F9CF01,shape_1,sound_7,happy
#EDE400,shape_9,sound_7,happy
#F7DA04,shape_4,sound_2,happy
#F8DE20,shape_2,sound_7,happy
#F7D50B,shape_9,sound_4,happy
#FCF017,shape_2,sound_7,happy
#F8D40C,shape_2,sound_7,happy
#F7D517,shape_1,sound_7,happy
#EDCD18,shape_2,sound_4,happy
#F1D408,shape_4,sound_2,happy
#F4E70E,shape_2,sound_7,happy
#FCD618,shape_1,sound_2,happy
#F7E706,shape_9,sound_7,happy
#F5DF0B,shape_9,sound_2,happy
#FDD510,shape_1,sound_7,happy
#F1E510,shape_2,sound_7,happy
#F8EC16,shape_1,sound_7,happy
#F0E812,shape_9,sound_7,happy
#F4DD00,shape_9,sound_7,happy
#EECE08,shape_2,sound_2,happy
#EBD913,shape_1,sound_10,happy
#F1DF02,shape_1,sound_4,happy
#F1CD21,shape_1,sound_4,happy
#FCD414,shape_1,sound_4,happy
#FEF500,shape_2,sound_4,happy
#F8D50A,shape_2,sound_2,happy
#FDDE1E,shape_4,sound_2,happy
#EFDF1E,shape_1,sound_10,happy
#F7DF19,shape_9,sound_10,happy
#ECDA02,shape_4,sound_4,happy
#EACC0F,shape_2,sound_10,happy
#F0DD22,shape_4,sound_4,happy
#F0E30C,shape_1,sound_2,happy
#F6EE16,shape_4,sound_4,happy
#EADA23,shape_9,sound_2,happy
#F2CE1E,shape_9,sound_10,happy
#FDEE0C,shape_1,sound_10,happy
#F7E420,shape_6,sound_4,happy
#EDCE03,shape_4,sound_4,happy
#FAEA0A,shape_4,sound_2,happy
#EDD205,shape_9,sound_10,happy
#F5E317,shape_9,sound_4,happy
#FCE808,shape_2,sound_2,happy
#FCE205,shape_9,sound_2,happy
#FEE40A,shape_2,sound_2,happy
#F3D20D,shape_2,sound_2,happy
#F8D30F,shape_10,sound_2,happy
#EBDB1D,shape_2,sound_10,happy
#ECCF00,shape_9,sound_4,happy
#F1D31B,shape_2,sound_10,happy
#F7E40F,shape_9,sound_10,happy
#EDCB1E,shape_1,sound_10,happy
#EFDD0A,shape_9,sound_4,happy
#F0E600,shape_4,sound_4,happy
#F0CA16,shape_5,sound_4,happy
#F5E60B,shape_1,sound_4,happy
#FCE706,shape_1,sound_4,happy
#EEDB1D,shape_9,sound_10,happy
#FBE51B,shape_9,sound_10,happy
#F9ED22,shape_4,sound_10,happy
#EEDB20,shape_2,sound_10,happy
#EBC315,shape_1,sound_4,happy
#EECF09,shape_4,sound_2,happy
#ECCF06,shape_2,sound_10,happy
#F3EA1D,shape_4,sound_2,happy
#FEEE0C,shape_4,sound_2,happy
#EFD120,shape_1,sound_10,happy
#FDD311,shape_2,sound_10,happy
#F0E006,shape_2,sound_10,happy
#F3D30C,shape_2,sound_10,happy
#ECCB0F,shape_4,sound_2,happy
#FEE108,shape_4,sound_10,happy
#FCE921,shape_9,sound_10,happy
#F9E813,shape_9,sound_2,happy
#F8D118,shape_4,sound_2,happy
#F1CD18,shape_9,sound_2,happy
#F1EA17,shape_2,sound_2,happy
#F1E414,shape_1,sound_2,happy
#FCF21A,shape_2,sound_2,happy
#FBE50E,shape_2,sound_4,happy
#FED512,shape_4,sound_2,happy
#F5E31D,shape_1,sound_2,happy
#FCED02,shape_2,sound_2,happy
#FED81C,shape_9,sound_2,happy
#FDF312,shape_9,sound_4,happy
#ECD707,shape_9,sound_2,happy
#F5E701,shape_1,sound_4,happy
#FAEC16,shape_9,sound_10,happy
#F0D20F,shape_2,sound_4,happy
#FDDE14,shape_9,sound_4,happy
#F9F11C,shape_2,sound_2,happy
#EFE51B,shape_4,sound_10,happy
#FDE00D,shape_9,sound_10,happy
#FBF30D,shape_9,sound_4,happy
#FCF208,shape_1,sound_2,happy
#EEDC15,shape_4,sound_10,happy
#F9E418,shape_4,sound_2,happy
#EDC31A,shape_4,sound_10,happy
#FDE61C,shape_2,sound_2,happy
#FCF222,shape_9,sound_4,happy
#F4D819,shape_9,sound_2,happy
#FBD423,shape_9,sound_4,happy
#F1CE02,shape_9,sound_4,happy
#EDE315,shape_1,sound_2,happy
#FBDB1C,shape_2,sound_10,happy
#ECE21C,shape_4,sound_2,happy
#F6EC1F,shape_4,sound_10,happy
#F7E80E,shape_9,sound_2,happy
#F1C703,shape_2,sound_2,happy
#EEE511,shape_4,sound_4,happy
#F0C300,shape_1,sound_2,happy
#F4D70E,shape_9,sound_4,happy
#EDDD17,shape_4,sound_2,happy
#F0DB0E,shape_9,sound_2,happy
#FCE815,shape_9,sound_10,happy
#F8E50D,shape_4,sound_2,happy
#FBE51E,shape_9,sound_4,happy
#EED513,shape_9,sound_10,happy
#F5CB0A,shape_9,sound_10,happy
#EDCC1B,shape_1,sound_10,happy
#F2D20E,shape_4,sound_4,happy
#F1D81C,shape_9,sound_10,happy
#FCDD0D,shape_1,sound_2,happy
#F4D901,shape_4,sound_2,happy
#F4E406,shape_2,sound_10,happy
#F0D90F,shape_4,sound_10,happy
#F1D022,shape_9,sound_4,happy
#EFC90A,shape_2,sound_4,happy
#F2D00E,shape_4,sound_10,happy
#EDD619,shape_9,sound_10,happy
#F7D317,shape_9,sound_2,happy
#F6D70D,shape_2,sound_10,happy
#FEDD20,shape_9,sound_2,happy
#F1EA0B,shape_4,sound_10,happy
#EFCE20,shape_1,sound_2,happy
#F3C70D,shape_4,sound_2,happy
#FCE716,shape_1,sound_2,happy
#FDD40A,shape_2,sound_10,happy
#F0DA0A,shape_4,sound_2,happy
#ECC205,shape_2,sound_2,happy
#F3C403,shape_4,sound_4,happy
#EEDE02,shape_9,sound_10,happy
#EFE101,shape_4,sound_10,happy
#F5D320,shape_7,sound_10,happy
#EEDF0D,shape_9,sound_10,happy
#F0DD17,shape_4,sound_10,happy
#EFD518,shape_4,sound_10,happy
#F1E608,shape_2,sound_10,happy
#F7D421,shape_4,sound_4,happy
#F9D61F,shape_1,sound_10,happy
#EBDA22,shape_4,sound_10,happy
#F9DD20,shape_2,sound_4,happy
#FEED1F,shape_4,sound_4,happy
#FCCC0D,shape_1,sound_2,happy
#ECD214,shape_1,sound_4,happy
#F0CE15,shape_1,sound_10,happy
#F8D913,shape_4,sound_10,happy
#EEDD18,shape_9,sound_10,happy
#F2D106,shape_4,sound_2,happy
#F3E320,shape_2,sound_4,happy
#FBD024,shape_7,sound_2,happy
#FCE709,shape_9,sound_4,happy
#FED917,shape_9,sound_4,happy
#F3CE10,shape_1,sound_4,happy
#FEE91D,shape_9,sound_10,happy
#F2DD11,shape_4,sound_4,happy
#FEEA0D,shape_9,sound_4,happy
#EFC81E,shape_9,sound_2,happy
#F4C917,shape_4,sound_10,happy
#EFCA18,shape_2,sound_10,happy
#FED20A,shape_2,sound_10,happy
#FDDA25,shape_2,sound_10,happy
#F5CF18,shape_1,sound_10,happy
#F8D018,shape_9,sound_2,happy
#F9E417,shape_3,sound_4,happy
#FDD513,shape_4,sound_2,happy
#EFE815,shape_9,sound_10,happy
#FBD520,shape_4,sound_2,happy
#F1D31B,shape_4,sound_2,happy
#ECDA1B,shape_9,sound_2,happy
#F2DD15,shape_4,sound_4,happy
#F6E624,shape_2,sound_2,happy
#F9CF0B,shape_4,sound_4,happy
#F0CA20,shape_2,sound_2,happy
#F8EE0B,shape_2,sound_10,happy
#EFC310,shape_1,sound_4,happy
#ECDB13,shape_1,sound_4,happy
#F2C302,shape_9,sound_2,happy
