color_hex,shape,sound,label
#902B30,shape_6,sound_9,angry
#ED3425,shape_6,sound_5,angry
#7D131E,shape_3,sound_3,angry
#872E1D,shape_9,sound_3,angry
#A80413,shape_6,sound_7,angry
#9C121B,shape_3,sound_7,angry
#A61C1E,shape_9,sound_5,angry
#83221C,shape_6,sound_7,angry
#CB0F2B,shape_2,sound_9,angry
#721302,shape_2,sound_9,angry
#BC3421,shape_3,sound_7,angry
#C42D45,shape_9,sound_3,angry
#BB2A39,shape_2,sound_7,angry
#730F1F,shape_9,sound_7,angry
#C63B28,shape_2,sound_9,angry
#D82943,shape_6,sound_7,angry
#971A15,shape_6,sound_3,angry
#D33939,shape_3,sound_7,angry
#730A0A,shape_2,sound_9,angry
#EB4E40,shape_6,sound_7,angry
#78080E,shape_2,sound_7,angry
#730707,shape_6,sound_7,angry
#8B271B,shape_3,sound_5,angry
#841B12,shape_9,sound_3,angry
#722A1E,shape_9,sound_7,angry
#7D1D2A,shape_2,sound_7,angry
#8C1C1B,shape_10,sound_7,angry
#B23330,shape_6,sound_3,angry
#940A0E,shape_2,sound_9,angry
#972826,shape_2,sound_7,angry
#902727,shape_9,sound_7,angry
#A8212A,shape_2,sound_9,angry
#792126,shape_6,sound_9,angry
#751717,shape_4,sound_5,angry
#891D14,shape_9,sound_3,angry
#C02F28,shape_7,sound_3,angry
#7E0112,shape_3,sound_5,angry
#A03320,shape_2,sound_3,angry
#72181E,shape_5,sound_5,angry
#E42B38,shape_9,sound_5,angry
#85211C,shape_6,sound_9,angry
#811D29,shape_2,sound_5,angry
#EE4832,shape_6,sound_5,angry
#E8211F,shape_10,sound_5,angry
#7B1F0D,shape_6,sound_5,angry
#981622,shape_3,sound_5,angry
#C51816,shape_2,sound_5,angry
#C92606,shape_9,sound_5,angry
#E13046,shape_6,sound_3,angry
#9E1A1A,shape_3,sound_9,angry
#A01E2D,shape_9,sound_5,angry
#CD1F32,shape_2,sound_9,angry
#D80A09,shape_3,sound_9,angry
#E8434C,shape_6,sound_3,angry
#D02B26,shape_2,sound_3,angry
#C6391D,shape_6,sound_9,angry
#BA374C,shape_6,sound_3,angry
#9E0301,shape_9,sound_3,angry
#A8293D,shape_2,sound_5,angry
#AD2A11,shape_2,sound_3,angry
#941612,shape_9,sound_5,angry
#E05036,shape_9,sound_3,angry
#DD2A0D,shape_2,sound_5,angry
#EF221D,shape_2,sound_3,angry
#EA201E,shape_6,sound_9,angry
#D71B38,shape_9,sound_9,angry
#DA403D,shape_6,sound_3,angry
#99190F,shape_2,sound_9,angry
#D8361B,shape_2,sound_9,angry
#731724,shape_2,sound_9,angry
#E00817,shape_6,sound_3,angry
#B31E2E,shape_2,sound_9,angry
#EE4047,shape_6,sound_5,angry
#D3394C,shape_9,sound_9,angry
#DD0A10,shape_9,sound_5,angry
#A5060D,shape_9,sound_3,angry
#9E0006,shape_3,sound_9,angry
#EE4654,shape_2,sound_5,angry
